Node,Erdos_Number
1513607219190935555,1
1488754101320130560,1
1493972169977741317,1
1508589775481098242,1
1485025915390377989,1
1503700074051874821,1
1496258526502658057,1
1500174680111656963,1
1502003919945408524,1
1509281837075603461,1
1481778142452846597,1
1501194294924914696,1
1500145564490547208,1
1500810011739660293,1
1514612700436852736,1
1495956566100615175,1
1479222762745040897,1
1503405611853258755,1
1482361549683630084,1
1512822728553902093,1
1499572881918939140,1
1482148043554275331,1
1512792512188063754,1
1511006968533635087,1
1498018881008451591,1
1478200769887277056,1
1496242606996656143,1
1500790881695289347,1
1489697927949963269,1
1487432872298520577,1
1506892043595001856,1
1478448708677255169,1
1513195116109963273,1
1503835945505890304,1
1477371086937415685,1
1509908463626850311,1
1512045030965399560,1
1514091062821851142,1
1490450245817352195,1
1498011322008616963,1
1507800837967564807,1
1483977602066964485,1
1502132248967012384,1
1506239305685118979,1
1492840996870279170,1
1497333107938242571,1
1505310668236410887,1
1496843650365411336,1
1498634175401889793,1
1491376353026920449,1
1491957694181302286,1
1496208198616891395,1
1486089035223384075,1
1498911766658568193,1
1501168372326748163,1
1501935763616722947,1
1502831840503156737,1
1503861254808645635,1
1481682234167992324,1
1509681995525328901,1
1502942558988689409,1
1510119865482457090,1
1506251866094673920,1
1478093871695515650,1
1499116101246070786,1
1499010151466033155,1
1500912954606243840,1
1503249597568851971,1
1499773689042243594,1
1514247049214107659,1
1506426431139725314,1
1508859047210065923,1
1507443485175128064,1
1485059479918067715,1
1502726136790405125,1
1495768696639397892,1
1500614745887584258,1
1503885025464496131,1
1513826271083520007,1
1506073240409722883,1
1485907806305890307,1
1479509408770138117,1
1498802784589815823,1
1507807490464960518,1
1485824803093295104,1
1489041387349700609,1
1480573910605250566,1
1506635654146531336,1
1486156990208487424,1
1487595182195449866,1
1484737611860258819,1
1495522729038069763,1
1491983383496478732,1
1512047552815841285,1
1506911250374086659,1
1515103956132900864,1
1514785686464860166,1
1499871071578869764,1
1501903223329800193,1
1497062127953195012,1
1500174453115953157,1
1503313769337868288,1
1509377472109944836,1
1498025179888467976,1
1495548895245570057,1
1506299713582256145,1
1484886075306823681,1
1503082232273121281,1
1510927433112989697,1
1493306604556636167,1
1512770305214881792,1
1496794578904809473,1
1499464654321500164,1
1504474193005490195,1
1496164145053511690,1
1487084766109343750,1
1484579098856935430,1
1509687016732123140,1
1506254431578374147,1
1491912887698403334,1
1511735778921136138,1
1481174151176110080,1
1506830694424760325,1
1506337460053291008,1
1484213577959489540,1
1493249952902000649,1
1498795318468558848,1
1503694761110261761,1
1484303707093323778,1
1482768377877782535,1
1508869118262398987,1
1503804489689710594,1
1489872929156472835,1
1481312549727612930,1
1478163568755421184,1
1498290653574443011,1
1488891240242417664,1
1485664949779185671,1
1478339189137620996,1
1504668964198174728,1
1503566680244555782,1
1507725240675315716,1
1506838221493256196,1
1498152755378196487,1
1505717483780640770,1
1505300610383556611,1
1509013817119944709,1
1503730255382683650,1
1491872122326728708,1
1485625834988015618,1
1508166993844785158,1
1507474921601081347,1
1491237979465170947,1
1498322352597311488,1
1491320987085950976,1
1488667264933150723,1
1507755722192392203,1
1499042108103135233,1
1508474010232926215,1
1481305429435158530,1
1481955521477365764,1
1507081434338668547,1
1508961134589657097,1
1501899445188939778,1
1481249652947177473,1
1494374890526461955,1
1497208523981271040,1
1509977173964333056,1
1497345607891140613,1
1491565432658186253,1
1479880601595518984,1
1509279313421500416,1
1506344998861778947,1
1503853662099189760,1
1492810806001639426,1
1515160578234458118,1
1492340214546812930,1
1506987978907951114,1
1499874849451298831,1
1506726248407572482,1
1497295374469505036,1
1505910872463527940,1
1490860439198126082,1
1485261065348915203,1
1511263137542066178,1
1500850044035031044,1
1514030677888573440,1
1481547518655840256,1
1491186339420717060,1
1491398987739545601,1
1496032063090212864,1
1505293051404734467,1
1497255146560053248,1
1505730920053104641,1
1501870831084912640,1
1498953884542418953,1
1491221755628818436,1
1496922184891129860,1
1489456234541502465,1
1497247551384432649,1
1484375255971893259,1
1498629158682902529,1
1504921858042482695,1
1493419840329109508,1
1490067783169843202,1
1492513859067863041,1
1480487098172026882,1
1515358120570204164,1
1482087675981144068,1
1507343068466491400,1
1510677279579549699,1
1501256524081082370,1
1485724113243099142,1
1513981563238760455,1
1483710838326317059,1
1494159689722048514,1
1478754439087460359,1
1503130060726972423,1
1484390329193218051,1
1513558791404638221,1
1493693791886266369,1
1507522729490141188,1
1479188551053062151,1
1509951320727461893,1
1501275351128805378,1
1504221081024053251,1
1503111052246097921,1
1496646061871542272,1
1490801298165440524,1
1487404161163575296,1
1508515521465094146,1
1514780563730698253,1
1507050252326608897,1
1482779701437509632,1
1500851285179969541,1
1505001186562297856,1
1508012213403107334,1
1482422354756222982,1
1496458592228200448,1
1492101130788212741,1
1503006720540524544,1
1496638515463004165,1
1499077100128636932,1
1499218017401679873,1
1503121247160446979,1
1505097763695984643,1
1500662234145566720,1
1492991993328418820,1
1501552143454638090,1
1498722258214342662,1
1505449068297953283,1
1497260683012018185,1
1508862005230325765,1
1505601549254512643,1
1479437680937218053,1
1498387598276018176,1
1483965524576980996,1
1502701272448876559,1
1504407769637654534,1
1498792723209494532,1
1509625362833186823,1
1506307238222303233,1
1501705674589409282,1
1499810688314785798,1
1494481333070016515,1
1486202269364367362,1
1485663704205213696,1
1502172478868635653,1
1478512848011681797,1
1490876892903268352,1
1495880790651060224,1
